Td 	 Time	ELECTRICITY_LV	ELECTRICITY_MV	ELECTRICITY_HV	ELECTRICITY_EHV	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG_LP	NG_MP	NG_HP	NG_EHP	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2_LP	H2_MP	H2_HP	H2_EHP	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PV	TRAFO_ML	TRAFO_LM	WIND_ONSHORE	GEOTHERMAL	TRAFO_HM	TRAFO_MH	CCGT	CCGT_AMMONIA	COAL_IGCC	COAL_US	TRAFO_EH	WIND_OFFSHORE	HYDRO_RIVER	TRAFO_HE	NUCLEAR	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	EHV_GRID	HV_GRID	MV_GRID	LV_GRID	EHP_H2_GRID	HP_H2_GRID	MP_H2_GRID	LP_H2_GRID	EHP_NG_GRID	HP_NG_GRID	MP_NG_GRID	LP_NG_GRID	NG_EXP_EH	NG_EXP_HM	NG_EXP_ML	NG_EXP_EH_COGEN	NG_EXP_HM_COGEN	NG_EXP_ML_COGEN	NG_COMP_HE	NG_COMP_MH	NG_COMP_LM	H2_EXP_EH	H2_EXP_HM	H2_EXP_ML	H2_EXP_EH_COGEN	H2_EXP_HM_COGEN	H2_EXP_ML_COGEN	H2_COMP_HE	H2_COMP_MH	H2_COMP_LM	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 2																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 3																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 4																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 5																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 6																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 7																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 8																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 9																																0.001765						-0.001765																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 10																																0.432934						-0.432933																																			-0.000000										-0.000001																																																																																																																															0.000000	
 1 	 11																																1.742831						-1.742828																																			-0.000000										-0.000003																																																																																																																															0.000000	
 1 	 12																																3.251676						-3.251671																																			-0.000001										-0.000004																																																																																																																															0.000000	
 1 	 13																																3.548972						-3.548967																																			-0.000001										-0.000004																																																																																																																															0.000000	
 1 	 14																																3.076589						-3.076585																																			-0.000001										-0.000004																																																																																																																															0.000000	
 1 	 15																																2.097149						-2.097146																																			-0.000000										-0.000003																																																																																																																															0.000000	
 1 	 16																																0.840935						-0.840933																																			-0.000000										-0.000002																																																																																																																															0.000000	
 1 	 17																																0.136284						-0.136284																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 18																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 19																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 20																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 21																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 22																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 23																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 1 	 24																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 1																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 2																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 3																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 4																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 5																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 6																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 7																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 8																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 9																																0.025485						-0.025485																																			-0.000000										-0.000000																																																																																																																															0.000000	
 2 	 10																																0.344231						-0.344231																																			-0.000000										-0.000000																																																																																																																															0.000000	
 2 	 11																																0.886135						-0.886134																																			-0.000000										-0.000001																																																																																																																															0.000000	
 2 	 12																																1.585836						-1.585834																																			-0.000000										-0.000001																																																																																																																															0.000000	
 2 	 13																																2.448976						-2.448974																																			-0.000000										-0.000002																																																																																																																															0.000000	
 2 	 14																																3.281320						-3.281317																																			-0.000000										-0.000003																																																																																																																															0.000000	
 2 	 15																																3.663361						-3.663358																																			-0.000000										-0.000002																																																																																																																															0.000000	
 2 	 16																																3.080024						-3.080020																																			-0.000000										-0.000004																																																																																																																															0.000000	
 2 	 17																																1.722169						-1.722165																																			-0.000000										-0.000003																																																																																																																															0.000000	
 2 	 18																																0.324073						-0.324073																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 19																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 20																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 21																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 22																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 23																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 2 	 24																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 1																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 2																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 3																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 4																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 5																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 6																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 7																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 8																																0.000000						0.000000																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 9																																0.306358						-0.306358																																			0.000000										0.000000																																																																																																																															0.000000	
 3 	 10																																1.934353						-1.934353																																			0.000000										0.000000																																																																																																																															0.000000	
